Title,Composer,Attrib,Genre,Manuscript_source,Folio_numbers,Number_of_voices,Clefs,Concordant_Sources,Modus,Tempus,Primary Edition,Reference,MEI_CMN_file,MEI_MENS_file,PDF_file,Mp3_file,Image_files,Has_online_images,IIIF_manifest,DIAMM_item,DIAMM_source,Other_online_images,Transcription_entered_by,Transcription_entered_date,Transcription_checked_by,Transcription_checked_by_date,MEI_MENS_created_by,MEI_MENS_created_date,Additional_comments_on_transcription,Notes_on_motet_texts,Variants_description,Additional_comments_on_database_record
Mout ai longuement / Li dous maus / PORTARE,Anonymous,,Motet,Mo,"351v, 352r, 352v",3,,,p,,Rokseth,"Mo 8, 305",Montpellier/305.mei,Montpellier/305_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,KD,2/4/2015,"EH, SH, KD",3/13/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
O presul eximie / O virtutis speculum / SACERDOTUM,Anonymous,,Motet,Mo,"352v, 353r",3,,,p,,Rokseth,"Mo 8, 306",Montpellier/306.mei,Montpellier/306_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,3/4/2015,"EH, SH, KD",3/13/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
"Dieus, comment porrai / O regina glorie / NOBIS CONCEDAS",Anonymous,,Motet,Mo,"353v, 354r, 354v",3,,,p,,Rokseth,"Mo 8, 307",Montpellier/307.mei,Montpellier/307_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,3/6/2015,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
Par une matinee / O clemencie / D’un joli dart,Anonymous,,Motet,Mo,"355v, 354r, 356v",3,,Douce (text),p,,Rokseth,"Mo 8, 309",Montpellier/309.mei,Montpellier/309_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,3/5/2015,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
In sompnis / Amours me commande / IN SOMPNIS,Anonymous,,Motet,Mo,"357r, 357v",3,,,p,,Rokseth,"Mo 8, 310",Montpellier/310.mei,Montpellier/310_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,4/16/2015,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
Se je chante / Bien doi amer / ET SPERA(BIT),Anonymous,,Motet,Mo,"357v, 358r, 358v, 359r, 359v",3,,,p,,Rokseth,"Mo 8, 311",Montpellier/311.mei,Montpellier/311_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,4/21/2015,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
Au tans nouvel / Chele m’a tolu / J’ai fait tout nouveletement,Anonymous,,Motet,Mo,"359v, 360r, 360v, 361r",3,,,p,,Rokseth,"Mo 8, 312",Montpellier/312.mei,Montpellier/312_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,4/28/2015,"EH, SH, KD",3/13/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
"Dieus, comment puet / Vo vair / (TENOR)",Anonymous,,Motet,Mo,"362r, 363r, 363v",3,,,p,,Rokseth,"Mo 8, 314",Montpellier/314.mei,Montpellier/314_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,3/31/2015,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
Se je sui / Jolietement / OMNES,Anonymous,,Motet,Mo,"364v, 365r, 365v",3,,,p,,Rokseth,"Mo 8, 316",Montpellier/316.mei,Montpellier/316_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,5/1/2015,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
"Aucun, qui ne sevent / Iure tuis laudibus / [VIRGO] MARIA",Anonymous,,Motet,Mo,"366r, 367v, 367r",3,,,p,,Rokseth,"Mo 8, 317",Montpellier/317.mei,Montpellier/317_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/888/,http://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=8028,SM,5/6/2015,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from Rokseth. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Mo.,,
